AD,ED,borough_code,borough,ed_uid,neighborhood
75,041,MN,Manhattan,MN-AD75-ED041,Chelsea
75,042,MN,Manhattan,MN-AD75-ED042,Chelsea
75,043,MN,Manhattan,MN-AD75-ED043,Chelsea
75,044,MN,Manhattan,MN-AD75-ED044,Chelsea
75,045,MN,Manhattan,MN-AD75-ED045,Chelsea
75,046,MN,Manhattan,MN-AD75-ED046,Chelsea
75,047,MN,Manhattan,MN-AD75-ED047,Chelsea
75,048,MN,Manhattan,MN-AD75-ED048,Chelsea
75,049,MN,Manhattan,MN-AD75-ED049,Hell's Kitchen
75,050,MN,Manhattan,MN-AD75-ED050,Hell's Kitchen
75,051,MN,Manhattan,MN-AD75-ED051,Hell's Kitchen
75,052,MN,Manhattan,MN-AD75-ED052,Hell's Kitchen
75,053,MN,Manhattan,MN-AD75-ED053,Hell's Kitchen
75,054,MN,Manhattan,MN-AD75-ED054,Hell's Kitchen
75,055,MN,Manhattan,MN-AD75-ED055,Hell's Kitchen
75,056,MN,Manhattan,MN-AD75-ED056,Hudson Yards
75,057,MN,Manhattan,MN-AD75-ED057,Hudson Yards
75,058,MN,Manhattan,MN-AD75-ED058,Hudson Yards
75,059,MN,Manhattan,MN-AD75-ED059,Hell's Kitchen
75,060,MN,Manhattan,MN-AD75-ED060,Chelsea
75,061,MN,Manhattan,MN-AD75-ED061,Chelsea
75,062,MN,Manhattan,MN-AD75-ED062,Chelsea
75,063,MN,Manhattan,MN-AD75-ED063,Chelsea
75,064,MN,Manhattan,MN-AD75-ED064,Chelsea
75,065,MN,Manhattan,MN-AD75-ED065,Chelsea
75,066,MN,Manhattan,MN-AD75-ED066,Chelsea
75,067,MN,Manhattan,MN-AD75-ED067,Midtown South
75,068,MN,Manhattan,MN-AD75-ED068,Manhattan
75,069,MN,Manhattan,MN-AD75-ED069,Manhattan
75,070,MN,Manhattan,MN-AD75-ED070,Manhattan
75,071,MN,Manhattan,MN-AD75-ED071,Manhattan
76,001,MN,Manhattan,MN-AD76-ED001,Upper East Side
76,002,MN,Manhattan,MN-AD76-ED002,Upper East Side
76,003,MN,Manhattan,MN-AD76-ED003,Upper East Side
76,004,MN,Manhattan,MN-AD76-ED004,Upper East Side
76,005,MN,Manhattan,MN-AD76-ED005,Upper East Side
76,006,MN,Manhattan,MN-AD76-ED006,Upper East Side
76,007,MN,Manhattan,MN-AD76-ED007,Upper East Side
76,008,MN,Manhattan,MN-AD76-ED008,Midtown East
76,009,MN,Manhattan,MN-AD76-ED009,Midtown East
76,010,MN,Manhattan,MN-AD76-ED010,Midtown East
76,011,MN,Manhattan,MN-AD76-ED011,Upper East Side
76,012,MN,Manhattan,MN-AD76-ED012,Midtown East
76,013,MN,Manhattan,MN-AD76-ED013,Upper East Side
76,014,MN,Manhattan,MN-AD76-ED014,Upper East Side
76,015,MN,Manhattan,MN-AD76-ED015,Upper East Side
76,016,MN,Manhattan,MN-AD76-ED016,Upper East Side
76,017,MN,Manhattan,MN-AD76-ED017,Upper East Side
76,018,MN,Manhattan,MN-AD76-ED018,Upper East Side
76,019,MN,Manhattan,MN-AD76-ED019,Upper East Side
76,020,MN,Manhattan,MN-AD76-ED020,Upper East Side
76,021,MN,Manhattan,MN-AD76-ED021,Yorkville
76,022,MN,Manhattan,MN-AD76-ED022,Upper East Side
76,023,MN,Manhattan,MN-AD76-ED023,Upper East Side
76,024,MN,Manhattan,MN-AD76-ED024,Upper East Side
76,025,MN,Manhattan,MN-AD76-ED025,Upper East Side
76,026,MN,Manhattan,MN-AD76-ED026,Upper East Side
76,027,MN,Manhattan,MN-AD76-ED027,Upper East Side
76,028,MN,Manhattan,MN-AD76-ED028,Upper East Side
76,029,MN,Manhattan,MN-AD76-ED029,Upper East Side
76,030,MN,Manhattan,MN-AD76-ED030,Yorkville
76,031,MN,Manhattan,MN-AD76-ED031,Yorkville
76,032,MN,Manhattan,MN-AD76-ED032,Upper East Side
76,033,MN,Manhattan,MN-AD76-ED033,Upper East Side
76,034,MN,Manhattan,MN-AD76-ED034,Yorkville
76,035,MN,Manhattan,MN-AD76-ED035,Yorkville
76,036,MN,Manhattan,MN-AD76-ED036,Yorkville
76,037,MN,Manhattan,MN-AD76-ED037,Yorkville
76,038,MN,Manhattan,MN-AD76-ED038,Yorkville
76,039,MN,Manhattan,MN-AD76-ED039,Yorkville
76,040,MN,Manhattan,MN-AD76-ED040,Yorkville
76,041,MN,Manhattan,MN-AD76-ED041,Yorkville
76,042,MN,Manhattan,MN-AD76-ED042,Yorkville
76,043,MN,Manhattan,MN-AD76-ED043,Yorkville
76,044,MN,Manhattan,MN-AD76-ED044,Yorkville
76,045,MN,Manhattan,MN-AD76-ED045,Yorkville
76,046,MN,Manhattan,MN-AD76-ED046,Yorkville
76,047,MN,Manhattan,MN-AD76-ED047,Yorkville
76,048,MN,Manhattan,MN-AD76-ED048,Upper East Side
76,049,MN,Manhattan,MN-AD76-ED049,Upper East Side
76,050,MN,Manhattan,MN-AD76-ED050,Yorkville
76,051,MN,Manhattan,MN-AD76-ED051,Yorkville
