ED,AD,borough,neighborhood,ev25_total,ev_rate,ev_weight,ev_party_dem,ev_party_rep,ev_party_oth
20,82,BX,Country Club,377,0.22,0.0005148564069577995,0.46153846153846156,0.3448275862068966,0.01856763925729443
20,48,BK,Midwood,140,0.11,0.0001911933606739839,0.7214285714285714,0.12857142857142856,0.0
32,55,BK,East Flatbush,52,0.06,7.101467682176546e-05,0.75,0.09615384615384616,0.038461538461538464
53,81,BX,Kingsbridge,93,0.06,0.00012700701816200358,0.8172043010752689,0.08602150537634409,0.021505376344086023
53,52,BK,Boerum Hill,162,0.19,0.00022123803163703851,0.9012345679012346,0.012345679012345678,0.0
62,62,SI,Rossville,312,0.19,0.0004260880609305927,0.16346153846153846,0.6538461538461539,0.02564102564102564
68,44,BK,Ditmas Park,79,0.1,0.00010788768209460521,0.8860759493670886,0.0379746835443038,0.02531645569620253
12,31,QN,Arverne,130,0.1,0.00017753669205441364,0.9384615384615385,0.023076923076923078,0.0
1,53,BK,Bushwick,176,0.1,0.0002403573677044369,0.9147727272727273,0.011363636363636364,0.005681818181818182
34,48,BK,Borough Park,79,0.08,0.00010788768209460521,0.7341772151898734,0.17721518987341772,0.0
40,34,QN,Jackson Heights,131,0.11,0.00017890235891637065,0.6793893129770993,0.1297709923664122,0.015267175572519083
35,24,QN,Briarwood,46,0.07,6.282067565002329e-05,0.6304347826086957,0.06521739130434782,0.021739130434782608
49,57,BK,Prospect Heights,345,0.19,0.0004711550673751746,0.936231884057971,0.0,0.008695652173913044
3,46,BK,Bay Ridge,290,0.2,0.0003960433899675381,0.7551724137931034,0.1103448275862069,0.017241379310344827
48,36,QN,Long Island City,95,0.1,0.00012973835188591766,0.7894736842105263,0.05263157894736842,0.031578947368421054
23,68,MN,East Harlem,81,0.07,0.00011061901581851926,0.8395061728395061,0.07407407407407407,0.012345679012345678
18,55,BK,East New York,2,0.02,2.7313337239140557e-06,1.0,0.0,0.0
56,68,MN,Upper East Side,130,0.11,0.00017753669205441364,0.9076923076923077,0.06153846153846154,0.0
2,72,MN,Marble Hill,125,0.09,0.00017070835774462848,0.832,0.072,0.016
69,68,MN,Yorkville,16,0.02,2.1850669791312446e-05,0.6875,0.0,0.0
41,71,MN,Hamilton Heights,176,0.11,0.0002403573677044369,0.8465909090909091,0.017045454545454544,0.005681818181818182
16,43,BK,Crown Heights,157,0.1,0.00021440969732725338,0.8789808917197452,0.006369426751592357,0.0
27,28,QN,Glendale,201,0.22,0.0002744990392533626,0.47761194029850745,0.2537313432835821,0.024875621890547265
10,35,QN,East Elmhurst,79,0.09,0.00010788768209460521,0.8481012658227848,0.0379746835443038,0.012658227848101266
51,85,BX,Soundview,237,0.14,0.0003236630462838156,0.9493670886075949,0.0,0.008438818565400843
6,74,MN,Kips Bay,230,0.12,0.00031410337825011643,0.6956521739130435,0.08260869565217391,0.008695652173913044
58,54,BK,Bushwick,9,0.03,1.2291001757613252e-05,0.7777777777777778,0.0,0.1111111111111111
5,46,BK,Dyker Heights,229,0.13,0.00031273771138815937,0.6157205240174672,0.23580786026200873,0.034934497816593885
17,64,SI,New Dorp,381,0.22,0.0005203190744056276,0.32808398950131235,0.47506561679790027,0.03412073490813648
60,43,BK,Prospect Lefferts Gardens,332,0.23,0.0004534013981697333,0.9397590361445783,0.0030120481927710845,0.0030120481927710845
52,82,BX,Co-op City,260,0.18,0.0003550733841088273,0.9076923076923077,0.015384615384615385,0.007692307692307693
6,65,MN,Financial District,271,0.18,0.00037009571959035456,0.7084870848708487,0.08856088560885608,0.0036900369003690036
36,61,SI,Mariner's Harbor,118,0.07,0.0001611486897109293,0.652542372881356,0.2288135593220339,0.01694915254237288
24,26,QN,Douglaston,200,0.12,0.0002731333723914056,0.59,0.225,0.02
34,68,MN,East Harlem,74,0.04,0.00010105934778482006,0.8108108108108109,0.02702702702702703,0.02702702702702703
35,75,MN,Midtown South,222,0.16,0.0003031780433544602,0.7567567567567568,0.03153153153153153,0.013513513513513514
45,50,BK,Williamsburg,61,0.04,8.33056785793787e-05,0.8360655737704918,0.08196721311475409,0.0
46,65,MN,Lower East Side,254,0.15,0.0003468793829370851,0.8267716535433071,0.05905511811023622,0.007874015748031496
38,53,BK,East Williamsburg,161,0.11,0.0002198723647750815,0.8509316770186336,0.043478260869565216,0.0
18,54,BK,Cypress Hills,152,0.12,0.00020758136301746825,0.7894736842105263,0.05921052631578947,0.013157894736842105
38,75,MN,Chelsea,353,0.29,0.00048208040227083087,0.8640226628895185,0.039660056657223795,0.0056657223796034
32,85,BX,Longwood,56,0.04,7.647734426959357e-05,0.8571428571428571,0.07142857142857142,0.0
12,56,BK,Bedford Stuyvesant,284,0.15,0.0003878493887957959,0.9049295774647887,0.02112676056338028,0.01056338028169014
8,37,QN,Long Island City,421,0.3,0.0005749457488839088,0.8028503562945368,0.03800475059382423,0.009501187648456057
1,30,QN,Maspeth,242,0.18,0.0003304913805936008,0.4628099173553719,0.2892561983471074,0.04132231404958678
