AD,ED,borough,pri_total_valid,pri_mam_share,pri_cuo_share
45,8,BK,263.0,0.060836501901140684,0.9391634980988594
45,9,BK,229.0,0.1615720524017467,0.8384279475982532
45,10,BK,241.0,0.06639004149377593,0.9336099585062241
45,11,BK,192.0,0.078125,0.921875
45,12,BK,31.0,0.6451612903225806,0.3548387096774194
45,13,BK,94.0,0.09574468085106383,0.9042553191489362
45,14,BK,182.0,0.12087912087912088,0.8791208791208791
45,15,BK,203.0,0.07881773399014778,0.9211822660098522
45,16,BK,324.0,0.06790123456790123,0.9320987654320988
45,17,BK,162.0,0.1728395061728395,0.8271604938271605
45,18,BK,21.0,0.23809523809523808,0.7619047619047619
45,19,BK,38.0,0.47368421052631576,0.5263157894736843
45,20,BK,179.0,0.1787709497206704,0.8212290502793296
45,21,BK,39.0,0.7692307692307693,0.23076923076923073
45,22,BK,128.0,0.4765625,0.5234375
45,23,BK,120.0,0.425,0.575
45,24,BK,123.0,0.43089430894308944,0.5691056910569106
45,25,BK,109.0,0.03669724770642202,0.963302752293578
45,26,BK,109.0,0.045871559633027525,0.9541284403669725
45,27,BK,158.0,0.5316455696202531,0.4683544303797469
45,28,BK,156.0,0.07051282051282051,0.9294871794871795
45,29,BK,102.0,0.22549019607843138,0.7745098039215687
45,30,BK,137.0,0.40875912408759124,0.5912408759124088
45,31,BK,151.0,0.6556291390728477,0.3443708609271523
45,32,BK,141.0,0.1702127659574468,0.8297872340425532
45,33,BK,104.0,0.2692307692307692,0.7307692307692308
45,34,BK,141.0,0.4326241134751773,0.5673758865248226
45,35,BK,61.0,0.39344262295081966,0.6065573770491803
45,36,BK,141.0,0.3617021276595745,0.6382978723404256
45,37,BK,148.0,0.5743243243243243,0.42567567567567566
45,38,BK,94.0,0.43617021276595747,0.5638297872340425
45,39,BK,13.0,0.46153846153846156,0.5384615384615384
45,40,BK,118.0,0.4491525423728814,0.5508474576271186
45,41,BK,156.0,0.40384615384615385,0.5961538461538461
45,42,BK,119.0,0.4369747899159664,0.5630252100840336
45,43,BK,136.0,0.34558823529411764,0.6544117647058824
45,44,BK,158.0,0.3860759493670886,0.6139240506329113
45,45,BK,123.0,0.3983739837398374,0.6016260162601625
45,46,BK,131.0,0.7251908396946565,0.2748091603053435
45,47,BK,142.0,0.31690140845070425,0.6830985915492958
45,48,BK,106.0,0.36792452830188677,0.6320754716981132
45,49,BK,88.0,0.13636363636363635,0.8636363636363636
45,50,BK,123.0,0.6747967479674797,0.3252032520325203
45,51,BK,85.0,0.15294117647058825,0.8470588235294118
45,52,BK,64.0,0.453125,0.546875
45,53,BK,63.0,0.6825396825396826,0.31746031746031744
45,54,BK,24.0,0.5,0.5
45,55,BK,2.0,1.0,0.0
45,56,BK,0.0,0.0,0.0
46,1,BK,219.0,0.730593607305936,0.26940639269406397
46,2,BK,244.0,0.7950819672131147,0.20491803278688525
46,3,BK,355.0,0.7154929577464789,0.2845070422535211
46,4,BK,302.0,0.7450331125827815,0.2549668874172185
46,5,BK,275.0,0.6836363636363636,0.3163636363636364
46,6,BK,238.0,0.5798319327731093,0.4201680672268907
46,7,BK,265.0,0.6679245283018868,0.33207547169811324
46,8,BK,212.0,0.6933962264150944,0.30660377358490565
46,9,BK,297.0,0.7542087542087542,0.24579124579124578
46,10,BK,275.0,0.7090909090909091,0.2909090909090909
46,11,BK,179.0,0.7430167597765364,0.25698324022346364
46,12,BK,331.0,0.5045317220543807,0.4954682779456193
46,13,BK,311.0,0.6109324758842444,0.3890675241157556
46,14,BK,315.0,0.5619047619047619,0.4380952380952381
46,15,BK,223.0,0.7309417040358744,0.26905829596412556
46,16,BK,273.0,0.717948717948718,0.28205128205128205
46,17,BK,222.0,0.7567567567567568,0.2432432432432432
46,18,BK,225.0,0.7555555555555555,0.24444444444444446
46,19,BK,266.0,0.5225563909774437,0.47744360902255634
46,20,BK,292.0,0.6232876712328768,0.37671232876712324
46,21,BK,42.0,0.5952380952380952,0.40476190476190477
46,22,BK,205.0,0.6097560975609756,0.3902439024390244
46,23,BK,145.0,0.5448275862068965,0.45517241379310347
46,24,BK,99.0,0.48484848484848486,0.5151515151515151
46,25,BK,134.0,0.44776119402985076,0.5522388059701493
